O*NET-SOC Code,Alternate Title,Short Title,Source(s)
11-1011.00,Aeronautics Commission Director,missing,08
11-1011.00,Agency Owner,missing,10
11-1011.00,Agricultural Services Director,missing,08
11-1011.00,Arts and Humanities Council Director,missing,08
11-1011.00,Bank President,missing,09
11-1011.00,Bureau Chief,missing,"04,06"
11-1011.00,Business Development Executive (BD Executive),BD Executive,09
11-1011.00,Business Development Officer (BD Officer),BD Officer,09
11-1011.00,Business Enterprise Officer,missing,08
11-1011.00,Business Executive,missing,09
11-1011.00,CEO (Chief Executive Officer),CEO,"02,04,08,10"
11-1011.00,Chief Administrative Officer (CAO),CAO,09
11-1011.00,Chief Diversity Officer (CDO),CDO,02
11-1011.00,Chief Financial Officer (CFO),CFO,"01,02,04,08"
11-1011.00,Chief Information Officer (CIO),CIO,"02,08"
11-1011.00,Chief Information Security Officer (CISO),CISO,01
11-1011.00,Chief Innovation Officer (CINO),CINO,08
11-1011.00,Chief Nursing Officer (CNO),CNO,02
11-1011.00,Chief Operating Officer (COO),COO,"02,04,08,10"
11-1011.00,Chief Technical Officer (CTO),CTO,"02,08"
11-1011.00,Chief Technology Officer (CTO),CTO,01
11-1011.00,Chief Warden,missing,08
11-1011.00,Commissioner,missing,"04,06"
11-1011.00,Consumer Affairs Director,missing,08
11-1011.00,Corporate Executive,missing,09
11-1011.00,Correctional Agency Director,missing,08
11-1011.00,County Commissioner,missing,"04,06"
11-1011.00,County Executive Director,missing,10
11-1011.00,Deputy District Customs Director,missing,08
11-1011.00,Deputy Insurance Commissioner,missing,08
11-1011.00,District Customs Director,missing,08
11-1011.00,Employment Research and Planning Director,missing,08
11-1011.00,Employment Services Director,missing,08
11-1011.00,Executive Director,missing,"02,08,10"
11-1011.00,Executive Officer,missing,"02,10"
11-1011.00,Executive Vice President (EVP),EVP,"02,08"
11-1011.00,Finance Vice President (Finance VP),Finance VP,"02,08"
11-1011.00,Financial Institution President,missing,08
11-1011.00,Financial Responsibility Division Director,missing,08
11-1011.00,Foundation Director,missing,09
11-1011.00,Government Service Executive,missing,"04,08"
11-1011.00,Health Commissioner,missing,"04,06"
11-1011.00,Highway Commissioner,missing,"04,06"
11-1011.00,Hospital CFO (Hospital Chief Financial Officer),Hospital CFO,10
11-1011.00,Institution Director,missing,08
11-1011.00,Insurance Commissioner,missing,"04,06"
11-1011.00,Internal Revenue Commissioner,missing,"04,06"
11-1011.00,Labor Commissioner,missing,"04,06"
11-1011.00,Labor Standards Director,missing,08
11-1011.00,Law Enforcement Director,missing,08
11-1011.00,Licensing and Registration Director,missing,08
11-1011.00,Liquor Commissioner,missing,"04,06"
11-1011.00,Liquor Stores and Agencies Supervisor,missing,08
11-1011.00,Media Executive,missing,09
11-1011.00,Medical Facilities Section Director,missing,08
11-1011.00,Music Executive,missing,09
11-1011.00,Nonprofit Director,missing,09
11-1011.00,Operations Vice President (Operations VP),Operations VP,"02,08"
11-1011.00,Police Commissioner,missing,08
11-1011.00,President,missing,"02,09,10"
11-1011.00,Private Sector Executive,missing,08
11-1011.00,Public Health Director,missing,09
11-1011.00,Public Works Commissioner,missing,08
11-1011.00,Public Works Director,missing,09
11-1011.00,Railroad Commissioner,missing,"04,06"
11-1011.00,Regulatory Agency Director,missing,08
11-1011.00,Relocation Commissioner,missing,08
11-1011.00,Road Commissioner,missing,"04,06"
11-1011.00,Safety Council Director,missing,08
11-1011.00,State Assessed Properties Director,missing,08
11-1011.00,Tax Commissioner,missing,"04,06"
11-1011.00,Unemployment Insurance Director,missing,08
11-1011.00,Water Commissioner,missing,"04,06"
11-1011.00,Welfare Director,missing,08
11-1011.03,Chief Environmental Commitment Officer (CECO),CECO,08
11-1011.03,Chief Green Officer (CGO),CGO,08
11-1011.03,Chief Sustainability Officer (CSO),CSO,02
11-1011.03,Climate Change and Sustainability Manager,missing,10
11-1011.03,Corporate Sustainability Manager,missing,10
11-1011.03,Corporate Sustainability Process Manager,missing,02
11-1011.03,CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President),CSR and Sustainability VP,02
11-1011.03,Energy and Sustainability Manager,missing,"02,10"
11-1011.03,Energy Sustainability Manager,missing,10
11-1011.03,"Energy, Sustainability, and Infrastructure Manager",missing,10
11-1011.03,Environmental and Sustainability Manager,missing,10
11-1011.03,Environmental Sustainability Manager,missing,10
11-1011.03,"ESG Manager (Environmental, Social, and Corporate Governance Manager)",ESG Manager,10
11-1011.03,Global Sustainability Manager,missing,10
11-1011.03,Sustainability Chancellor,missing,02
11-1011.03,Sustainability Chief,missing,02
11-1011.03,Sustainability Director,missing,"02,08"
11-1011.03,Sustainability Energy Manager,missing,10
11-1011.03,Sustainability Initiatives Vice President (Sustainability Initiatives VP),Sustainability Initiatives VP,02
11-1011.03,Sustainability Manager,missing,"02,08,10"
11-1011.03,Sustainability Programs Director,missing,02
11-1011.03,Sustainability Reports Director,missing,10
11-1011.03,Sustainability Research and Advocacy Director,missing,08
11-1011.03,Sustainability Strategy Manager,missing,10
11-1011.03,Sustainable Design Director,missing,"02,08"
11-1021.00,Area Manager,missing,"02,10"
11-1021.00,Boards and Commissions Director,missing,03
11-1021.00,Business Coordinator,missing,09
11-1021.00,Business Manager,missing,"02,10"
11-1021.00,Center Manager,missing,02
11-1021.00,Chief Administrative Officer (CAO),CAO,09
11-1021.00,Corporate Manager,missing,09
11-1021.00,Department Manager,missing,02
11-1021.00,Department Store General Manager (Dept Store GM),Dept Store GM,04
11-1021.00,Department Store Manager (Dept Store Manager),Dept Store Manager,"04,06,08"
11-1021.00,District Commercial Superintendent,missing,"04,06"
11-1021.00,District Manager,missing,"01,02,04,06,10"
11-1021.00,District Plant Superintendent,missing,"04,06"
11-1021.00,District Traffic Chief,missing,"04,06"
11-1021.00,District Wire Chief,missing,"04,06"
11-1021.00,Division Toll Wire Chief,missing,"04,06"
11-1021.00,Division Traffic Superintendent,missing,"04,06"
11-1021.00,Drilling and Production Superintendent,missing,"04,06"
11-1021.00,Electrical Superintendent,missing,"04,06"
11-1021.00,Equipment Maintenance Superintendent,missing,"04,06"
11-1021.00,Field Party Manager,missing,"04,06"
11-1021.00,Fish and Game Club Manager,missing,08
11-1021.00,General Manager (GM),GM,"02,04,10"
11-1021.00,General Superintendent,missing,"04,06"
11-1021.00,Golf and Operations Manager,missing,08
11-1021.00,Golf Course Manager,missing,09
11-1021.00,Gym Manager,missing,09
11-1021.00,Installation Superintendent,missing,04
11-1021.00,IO Manager (Industrial Organization Manager),IO Manager,"04,06,08"
11-1021.00,Laundry Superintendent,missing,"04,06"
11-1021.00,Line Construction Superintendent,missing,"04,06"
11-1021.00,Manufacturing Operations Manager,missing,"02,04,09"
11-1021.00,Mine Superintendent,missing,"04,06"
11-1021.00,Movie Theater Manager,missing,08
11-1021.00,Newspaper Manager,missing,09
11-1021.00,Nonprofit Manager,missing,09
11-1021.00,Office Manager,missing,02
11-1021.00,Offshoring Manager,missing,08
11-1021.00,Operational Risk Manager,missing,04
11-1021.00,Operations Director,missing,"02,10"
11-1021.00,Operations General Manager (Operations GM),Operations GM,02
11-1021.00,Operations Manager,missing,"02,04,10"
11-1021.00,Operations Supervisor,missing,"04,06,10"
11-1021.00,Park Superintendent,missing,"04,06"
11-1021.00,Parks and Recreation Manager,missing,09
11-1021.00,Plant Superintendent,missing,02
11-1021.00,Print Production Manager,missing,08
11-1021.00,Printing Manager,missing,09
11-1021.00,Prison Warden,missing,09
11-1021.00,Program Director,missing,03
11-1021.00,Program Manager,missing,08
11-1021.00,Public Works Director,missing,09
11-1021.00,Publication Director,missing,"04,06"
11-1021.00,Refinery Superintendent,missing,"04,06"
11-1021.00,Revenue Director,missing,"04,06"
11-1021.00,Revenue Manager,missing,09
11-1021.00,Roads Superintendent,missing,"04,06"
11-1021.00,Shelter Director,missing,08
11-1021.00,Shift Supervisor,missing,10
11-1021.00,Shop Superintendent,missing,06
11-1021.00,Site Operations Manager,missing,"02,09"
11-1021.00,Solid Waste Manager,missing,08
11-1021.00,Sports Team Manager,missing,09
11-1021.00,Store Director,missing,"02,09"
11-1021.00,Store Manager,missing,"01,02,04"
11-1021.00,Street Commissioner,missing,"04,06"
11-1021.00,Street Superintendent,missing,"04,06"
11-1021.00,Substation Superintendent,missing,"04,06"
11-1021.00,Theatre Manager,missing,08
11-1021.00,Training Manager,missing,10
11-1021.00,Venue Manager,missing,08
11-1021.00,Water and Sewer Systems Supervisor,missing,"04,06"
11-1021.00,Water Superintendent,missing,"04,06"
11-1021.00,Zoo Director,missing,"04,06"
11-1031.00,Alderman,missing,"04,06"
11-1031.00,Assembly Member,missing,"04,06"
11-1031.00,Assembly Person,missing,04
11-1031.00,Assemblyman,missing,06
11-1031.00,Assemblywoman,missing,06
11-1031.00,City Alderman,missing,"04,06"
11-1031.00,City Council Member,missing,"04,06"
11-1031.00,City Councilman,missing,"04,06"
11-1031.00,Congress Member,missing,"04,06,07"
11-1031.00,Congressional Representative,missing,"04,06"
11-1031.00,Congressman,missing,"04,06"
11-1031.00,Congresswoman,missing,01
11-1031.00,Council Member,missing,"04,06"
11-1031.00,Councilman,missing,"04,06"
11-1031.00,Councilor,missing,"04,09"
11-1031.00,Councilperson,missing,04
11-1031.00,Councilwoman,missing,01
11-1031.00,Delegate,missing,"04,06"
11-1031.00,Legislator,missing,04
11-1031.00,Representative,missing,"04,06"
11-1031.00,Selectman,missing,"04,06"
11-1031.00,Senator,missing,"04,06"
11-1031.00,Tribal Council Member,missing,"04,06"
11-1031.00,Tribal Delegate,missing,"04,06"
11-1031.00,U.S. Representative (United States Representative),U.S. Representative,"04,06"
11-1031.00,U.S. Senator (United States Senator),U.S. Senator,"04,06"
11-2011.00,Account Director,missing,08
11-2011.00,Account Executive,missing,02
11-2011.00,Account Manager,missing,08
11-2011.00,Account Specialist,missing,08
11-2011.00,Advertising Account Executive (Ad Account Executive),Ad Account Executive,08
11-2011.00,Advertising Account Manager (Ad Account Manager),Ad Account Manager,08
11-2011.00,Advertising Agency Manager (Ad Agency Manager),Ad Agency Manager,08
11-2011.00,Advertising Campaign Manager (Ad Campaign Manager),Ad Campaign Manager,08
11-2011.00,Advertising Coordinator (Ad Coordinator),Ad Coordinator,08
11-2011.00,Advertising Director (Ad Director),Ad Director,"04,08,10"
11-2011.00,Advertising Executive (Ad Executive),Ad Executive,"04,08"
11-2011.00,Advertising Manager (Ad Manager),Ad Manager,"02,04,10"
11-2011.00,Advertising Operations Manager (Ad Operations Manager),Ad Operations Manager,"08,10"
11-2011.00,Advertising Sales Manager (Ad Sales Manager),Ad Sales Manager,02
11-2011.00,Advertising VP (Advertising Vice President),Advertising VP,04
11-2011.00,Brand Manager,missing,08
11-2011.00,Campaign Director,missing,08
11-2011.00,Campaign Manager,missing,08
11-2011.00,Campaign Program Manager,missing,10
11-2011.00,Circulation Manager,missing,08
11-2011.00,Classified Advertising Manager (Classified Ad Manager),Classified Ad Manager,"02,04"
11-2011.00,Client Services Director,missing,08
11-2011.00,Communications Director,missing,02
11-2011.00,Communications Manager,missing,02
11-2011.00,Creative Services Director,missing,02
11-2011.00,Digital Advertising Director,missing,10
11-2011.00,Digital Advertising Manager (Digital Ad Manager),Digital Ad Manager,"08,10"
11-2011.00,Digital Marketing Coordinator,missing,10
11-2011.00,League Manager,missing,10
11-2011.00,Marketing and Promotions Manager,missing,02
11-2011.00,Marketing Coordinator,missing,08
11-2011.00,Marketing Director,missing,08
11-2011.00,Marketing Manager,missing,08
11-2011.00,Media Director,missing,08
11-2011.00,Media Promoter,missing,08
11-2011.00,Online Advertising Director,missing,08
11-2011.00,Print Traffic Manager,missing,08
11-2011.00,Promotions Director,missing,"02,04"
11-2011.00,Promotions Executive Producer (Promos Executive Producer),Promos Executive Producer,08
11-2011.00,Promotions Manager,missing,"02,04"
11-2011.00,Promotions Marketing Manager,missing,10
11-2011.00,Promotions Supervisor,missing,10
11-2011.00,Promotions VP (Promotions Vice President),Promotions VP,"04,08"
11-2011.00,Sales Promotion Manager,missing,08
11-2011.00,Street Team Manager,missing,10
11-2021.00,Account Supervisor,missing,02
11-2021.00,Brand Manager,missing,"02,08"
11-2021.00,Business Developer,missing,09
11-2021.00,Business Development Director,missing,"02,09"
11-2021.00,Business Development Manager,missing,02
11-2021.00,Category Manager,missing,"02,09"
11-2021.00,Channel Manager,missing,09
11-2021.00,Commercial Director,missing,09
11-2021.00,Commercial Lines Manager,missing,02
11-2021.00,Digital Marketing Manager,missing,10
11-2021.00,Digital Product Manager,missing,10
11-2021.00,Fashion Coordinator,missing,"04,06,08"
11-2021.00,Fashion Marketer,missing,09
11-2021.00,Internet Marketing Manager,missing,"04,09"
11-2021.00,Market Analysis Director,missing,09
11-2021.00,Market Development Executive,missing,02
11-2021.00,Market Research Manager,missing,09
11-2021.00,Marketing Administrator,missing,"04,09"
11-2021.00,Marketing Communications Manager,missing,"02,08"
11-2021.00,Marketing Coordinator,missing,02
11-2021.00,Marketing Director,missing,"02,04,06,10"
11-2021.00,Marketing Executive,missing,08
11-2021.00,Marketing Manager,missing,"02,04,08,10"
11-2021.00,Marketing Operations Director,missing,"02,08"
11-2021.00,Marketing Product Manager,missing,10
11-2021.00,Marketing Sales Supervisor,missing,09
11-2021.00,Media Marketing Director,missing,08
11-2021.00,Membership Director,missing,08
11-2021.00,Pricing Manager,missing,09
11-2021.00,Product Line Manager (PLM),PLM,09
11-2021.00,Product Management Director,missing,10
11-2021.00,Product Manager,missing,"02,10"
11-2021.00,Product Marketing Manager,missing,"02,10"
11-2021.00,Sales and Marketing Director,missing,"02,09"
11-2021.00,Sales and Marketing Manager,missing,08
11-2021.00,Sales and Marketing Vice President (Sales and Marketing VP),Sales and Marketing VP,02
11-2021.00,Sales Marketing Director,missing,09
11-2021.00,Sustainable Products Marketing Manager,missing,08
11-2021.00,Technical Product Manager,missing,10
11-2021.00,World Trade and Maritime Division Manager,missing,08
11-2022.00,Account Manager,missing,10
11-2022.00,Area Sales Manager,missing,10
11-2022.00,BD Director (Business Development Director),BD Director,09
11-2022.00,BD Executive (Business Development Executive),BD Executive,09
11-2022.00,BD Manager (Business Development Manager),BD Manager,10
11-2022.00,Business Developer,missing,09
11-2022.00,Channel Manager,missing,09
11-2022.00,Client Relationship Manager,missing,09
11-2022.00,Commercial Director,missing,09
11-2022.00,Commercial Sales Manager,missing,10
11-2022.00,Dealership Manager,missing,"04,06"
11-2022.00,Department Store Manager,missing,"04,06"
11-2022.00,District Manager,missing,"04,06,10"
11-2022.00,District Sales Manager,missing,"02,04,10"
11-2022.00,Division Manager,missing,"04,06"
11-2022.00,E-Commerce Director (Electronic Commerce Director),E-Commerce Director,"01,04"
11-2022.00,Export Manager,missing,"04,06,08"
11-2022.00,Fractional Sales Executive,missing,02
11-2022.00,Global Account Manager (GAM),GAM,09
11-2022.00,Hotel Sales Manager,missing,08
11-2022.00,Import Export Manager,missing,09
11-2022.00,Inside Sales Manager,missing,09
11-2022.00,Marketing Sales Supervisor,missing,09
11-2022.00,National Account Manager,missing,"02,10"
11-2022.00,National Sales Manager,missing,02
11-2022.00,Professional Equipment Sales and Service Manager,missing,08
11-2022.00,Regional Director,missing,10
11-2022.00,Regional Manager,missing,"01,10"
11-2022.00,Regional Sales Director,missing,10
11-2022.00,Regional Sales Manager,missing,"02,04,06,10"
11-2022.00,Retail Chain Store Area Supervisor,missing,08
11-2022.00,Retail District Manager,missing,09
11-2022.00,Sales Account Manager,missing,"04,09"
11-2022.00,Sales and Marketing Director,missing,09
11-2022.00,Sales and Marketing Manager,missing,08
11-2022.00,Sales and Marketing VP (Sales and Marketing Vice President),Sales and Marketing VP,02
11-2022.00,Sales Coordinator,missing,"04,06"
11-2022.00,Sales Director,missing,"02,04,06,10"
11-2022.00,Sales Manager,missing,"02,10"
11-2022.00,Sales Operations Manager (Sales Ops Manager),Sales Ops Manager,02
11-2022.00,Sales Promotion Manager,missing,09
11-2022.00,Sales Supervisor,missing,"02,04"
11-2022.00,Sales VP (Sales Vice President),Sales VP,"02,09,10"
11-2022.00,Territory Manager,missing,"02,10"
11-2022.00,Territory Sales Manager,missing,"04,09,10"
11-2022.00,Utility Sales and Service Manager,missing,08
11-2022.00,Vehicle Leasing and Rental Manager,missing,08
11-2022.00,Zone Manager,missing,01
11-2032.00,Business Development Director,missing,08
11-2032.00,Campaign Manager,missing,08
11-2032.00,Communications Director,missing,02
11-2032.00,Communications Manager,missing,"02,04"
11-2032.00,Community Director,missing,10
11-2032.00,Community Engagement Manager,missing,10
11-2032.00,Community Manager,missing,08
11-2032.00,Community Relations Director,missing,02
11-2032.00,Customer Service Manager,missing,08
11-2032.00,Development Director,missing,02
11-2032.00,Information Director,missing,08
11-2032.00,Marketing and Communications Manager,missing,10
11-2032.00,Marketing Communications Manager,missing,08
11-2032.00,Public Affairs Director,missing,"02,04"
11-2032.00,Public Information Director,missing,"04,08"
11-2032.00,Public Information Relations Manager,missing,"04,08"
11-2032.00,Public Relations Director (PR Director),PR Director,"02,04"
11-2032.00,Public Relations Manager (PR Manager),PR Manager,"02,04"
11-2032.00,Public Relations Supervisor (PR Supervisor),PR Supervisor,08
11-2032.00,Publicity Director,missing,"04,08"
11-2032.00,Publicity Manager,missing,08
11-2032.00,Relationship Manager,missing,08
11-2032.00,Social Media Manager,missing,10
11-2032.00,University Relations Director,missing,08
11-2033.00,Account Manager,missing,08
11-2033.00,Account Supervisor,missing,02
11-2033.00,Advancement Director,missing,02
11-2033.00,Annual Giving Director,missing,02
11-2033.00,Campaign Manager,missing,08
11-2033.00,Canvass Director,missing,10
11-2033.00,Community Manager,missing,08
11-2033.00,Development Director,missing,02
11-2033.00,Donor Engagement Director,missing,02
11-2033.00,Donor Relations Manager,missing,04
11-2033.00,Foundation Director,missing,"02,04"
11-2033.00,Funding Coordinator,missing,04
11-2033.00,Fundraising and Marketing Director,missing,10
11-2033.00,Fundraising Campaign Manager,missing,10
11-2033.00,Fundraising Director,missing,"04,08"
11-2033.00,Fundraising Events Manager,missing,10
11-2033.00,Fundraising Manager,missing,"02,08"
11-2033.00,Funds Development Director,missing,08
11-2033.00,Grants Management Specialist,missing,10
11-2033.00,Grants Manager,missing,10
11-2033.00,Individual Giving Director,missing,02
11-2033.00,Individual Giving Manager,missing,02
11-2033.00,Institutional Advancement VP (Institutional Advancement Vice President),Institutional Advancement VP,02
11-2033.00,Major Gifts Director,missing,"02,10"
11-2033.00,Major Gifts Manager,missing,10
11-2033.00,Philanthropy Director,missing,10
11-3012.00,Administration Director,missing,10
11-3012.00,Administrative Coordinator,missing,02
11-3012.00,Administrative Director,missing,02
11-3012.00,Administrative Manager,missing,02
11-3012.00,Administrative Officer,missing,02
11-3012.00,Administrative Services Manager,missing,08
11-3012.00,Administrator,missing,02
11-3012.00,Business Administrator,missing,02
11-3012.00,Business Coordinator,missing,08
11-3012.00,Business Manager,missing,02
11-3012.00,Business Office Director,missing,10
11-3012.00,Business Office Manager,missing,"04,08"
11-3012.00,Business Unit Manager,missing,"04,08"
11-3012.00,Operations Administrator,missing,08
11-3012.00,Records and Information Manager,missing,"04,08"
11-3012.00,Records Management Director,missing,"04,08"
11-3012.00,Service Director,missing,08
11-3013.00,Building Maintenance Superintendent,missing,02
11-3013.00,Building Manager,missing,08
11-3013.00,Building Services Supervisor,missing,02
11-3013.00,Conference Center Manager,missing,04
11-3013.00,Facilities Coordinator,missing,"02,08"
11-3013.00,Facilities Director,missing,"02,08"
11-3013.00,Facilities Electrical Engineer,missing,10
11-3013.00,Facilities Engineer,missing,"02,10"
11-3013.00,Facilities Maintenance Manager,missing,"02,10"
11-3013.00,Facilities Manager,missing,02
11-3013.00,Facilities Operations Director (Facilities Ops Director),Facilities Ops Director,10
11-3013.00,Facilities Operations Manager (Facilities Ops Manager),Facilities Ops Manager,02
11-3013.00,Facilities Operations Specialist (Facilities Ops Specialist),Facilities Ops Specialist,02
11-3013.00,Facilities Project Manager,missing,10
11-3013.00,Facilities Specialist,missing,10
11-3013.00,Facility Administrator,missing,10
11-3013.00,Industrial Production Supervisor,missing,08
11-3013.00,Maintenance Manager,missing,08
11-3013.00,Maintenance Superintendent,missing,"02,08"
11-3013.00,Operations Administrator (Ops Administrator),Ops Administrator,08
11-3013.00,Property Disposal Manager,missing,08
11-3013.00,Property Disposal Officer,missing,08
11-3013.00,Property Utilization Manager,missing,08
11-3013.00,Regional Facilities Manager,missing,10
11-3013.00,Space Officer,missing,08
11-3013.00,Stadium Manager,missing,04
11-3013.00,Unclaimed Property Officer,missing,08
11-3013.00,University Housing Director,missing,04
11-3013.01,Chief Security Officer (CSO),CSO,08
11-3013.01,Cloud Security Manager,missing,10
11-3013.01,Corporate Physical Security Supervisor,missing,02
11-3013.01,Corporate Security Director,missing,08
11-3013.01,Corporate Security Manager,missing,02
11-3013.01,Internal Security Manager,missing,08
11-3013.01,IS Security Manager (Information Systems Security Manager),IS Security Manager,10
11-3013.01,Judicial Office Security Director,missing,02
11-3013.01,Museum Security Chief,missing,08
11-3013.01,Physical Security Manager,missing,"02,08"
11-3013.01,Physical Security Systems Manager,missing,02
11-3013.01,Regional Security Manager,missing,02
11-3013.01,Safety Manager,missing,08
11-3013.01,Safety System Support Manager,missing,08
11-3013.01,Security Account Manager,missing,10
11-3013.01,Security and Surveillance Manager,missing,02
11-3013.01,Security Director,missing,02
11-3013.01,Security Field Supervisor,missing,10
11-3013.01,Security Guard Supervisor,missing,10
11-3013.01,Security Infrastructure Manager,missing,08
11-3013.01,Security Management Director,missing,08
11-3013.01,Security Manager,missing,"02,10"
11-3013.01,Security Officer Site Supervisor,missing,10
11-3013.01,Security Officer Supervisor,missing,10
11-3013.01,Security Operations Manager (Security Ops Manager),Security Ops Manager,08
11-3013.01,Security Program Manager,missing,10
11-3013.01,Security Project Manager (Security PM),Security PM,10
11-3013.01,Security Services Manager,missing,08
11-3013.01,Security Shift Manager,missing,10
11-3013.01,Security Shift Supervisor,missing,10
11-3013.01,Security Site Manager,missing,10
11-3013.01,Security Site Supervisor,missing,10
11-3013.01,Security Supervisor,missing,08
11-3013.01,Special Security Operations Program Manager,missing,02
11-3013.01,Transportation Security Manager,missing,10
11-3021.00,Application Development Director,missing,"02,04"
11-3021.00,Chief Information Security Officer (CISO),CISO,01
11-3021.00,Computer and Information Systems Manager,missing,03
11-3021.00,Computer Operations Manager,missing,"01,04,06,07,08"
11-3021.00,Computer Programming Manager,missing,"04,06,07"
11-3021.00,Computer Security Manager,missing,04
11-3021.00,Computer Systems Information Director,missing,"04,06,07"
11-3021.00,Computing Services Director,missing,02
11-3021.00,Consulting Technical Director,missing,10
11-3021.00,Cyber Workforce Manager,missing,01
11-3021.00,Cybersecurity All-Source Collection Manager,missing,01
11-3021.00,Cybersecurity All-Source Collection Requirements Manager,missing,01
11-3021.00,Data Center Manager,missing,09
11-3021.00,Data Operations Director,missing,"02,04"
11-3021.00,Data Processing Manager,missing,"02,04,06,07,08"
11-3021.00,Data Systems Manager,missing,"04,06,07"
11-3021.00,Development Manager,missing,"02,08"
11-3021.00,Digital Transformation Director,missing,10
11-3021.00,Enterprise Architecture Director,missing,10
11-3021.00,Enterprise Architecture Manager,missing,10
11-3021.00,Information Security Manager,missing,"02,09"
11-3021.00,Information Services Manager,missing,09
11-3021.00,Information Support Project Manager,missing,01
11-3021.00,Information Systems Administrator,missing,09
11-3021.00,Information Systems Director (IS Director),IS Director,"02,04"
11-3021.00,Information Systems Manager (IS Manager),IS Manager,"02,04,06,07"
11-3021.00,Information Systems Operator,missing,01
11-3021.00,Information Systems Supervisor (IS Supervisor),IS Supervisor,02
11-3021.00,Information Technology Account Manager (IT Account Manager),IT Account Manager,03
11-3021.00,Information Technology Administrator (IT Administrator),IT Administrator,09
11-3021.00,Information Technology Coordinator (IT Coordinator),IT Coordinator,"02,08"
11-3021.00,Information Technology Director (IT Director),IT Director,"02,04,09,10"
11-3021.00,Information Technology Manager (IT Manager),IT Manager,02
11-3021.00,Information Technology Systems Director (ITS Director),ITS Director,"02,04"
11-3021.00,Interactive Media Project Manager,missing,01
11-3021.00,Internet and E-Business Project Manager,missing,01
11-3021.00,Internet Technology Manager,missing,"04,06,07"
11-3021.00,IT Infrastructure Director (Information Technology Infrastructure Director),IT Infrastructure Director,10
11-3021.00,IT Portfolio Manager (Information Technology Portfolio Manager),IT Portfolio Manager,01
11-3021.00,Knowledge Manager,missing,09
11-3021.00,MIS Director (Management Information Systems Director),MIS Director,"02,04"
11-3021.00,Network Director,missing,"04,06,07"
11-3021.00,Network Manager,missing,"04,06,07"
11-3021.00,Product Solutions Manager,missing,10
11-3021.00,Product Support Manager,missing,01
11-3021.00,Programming and Software Development Project Manager,missing,01
11-3021.00,Software Development Director,missing,10
11-3021.00,Software Engineering Director,missing,"02,10"
11-3021.00,Software Project Manager,missing,09
11-3021.00,System Development Manager,missing,01
11-3021.00,Systems Development Manager,missing,"04,06,07"
11-3021.00,Systems Engineering Manager,missing,10
11-3021.00,Systems Tester Administrator,missing,01
11-3021.00,Technical Director,missing,10
11-3021.00,Technical Services Manager,missing,"01,02"
11-3021.00,Technical Solutions Director,missing,08
11-3021.00,Technical Support Content Manager,missing,01
11-3021.00,Technology Director,missing,"02,08,10"
11-3031.00,Accountant Supervisor,missing,08
11-3031.00,Accounting Director,missing,08
11-3031.00,Accounting Manager,missing,"08,10"
11-3031.00,Accounting Supervisor,missing,"02,08"
11-3031.00,Accounts Manager,missing,08
11-3031.00,Accounts Payable Manager,missing,10
11-3031.00,Accounts Supervisor,missing,08
11-3031.00,Actuarial Manager,missing,08
11-3031.00,Asset Manager,missing,08
11-3031.00,ATM Manager (Automated Teller Machine Manager),ATM Manager,08
11-3031.00,Auditing Manager,missing,08
11-3031.00,Auditor Supervisor,missing,08
11-3031.00,Bank Branch Manager,missing,"02,04,08"
11-3031.00,Bank Manager,missing,08
11-3031.00,Banking Branch Manager,missing,04
11-3031.00,Banking Center Manager (BCM),BCM,"02,04,08"
11-3031.00,Banking Manager,missing,"04,08"
11-3031.00,Banking Supervisor,missing,08
11-3031.00,Branch Manager,missing,"02,10"
11-3031.00,Budget Manager,missing,08
11-3031.00,Business Banking Manager,missing,02
11-3031.00,Cash Manager,missing,08
11-3031.00,City Comptroller,missing,"04,08"
11-3031.00,Collections Manager,missing,08
11-3031.00,Comptroller,missing,"04,08"
11-3031.00,Cost Accounting Manager,missing,08
11-3031.00,Credit Administration Manager,missing,02
11-3031.00,Credit and Collection Manager,missing,08
11-3031.00,Credit Department Manager,missing,08
11-3031.00,Credit Manager,missing,"02,04,08"
11-3031.00,Credit Office Manager,missing,08
11-3031.00,Credit Union Manager,missing,08
11-3031.00,Exchange Floor Manager,missing,08
11-3031.00,Finance Director,missing,08
11-3031.00,Finance Manager,missing,"08,10"
11-3031.00,Financial Center Manager,missing,02
11-3031.00,Financial Director,missing,"04,08"
11-3031.00,Financial Institution Branch Manager,missing,08
11-3031.00,Financial Institution Manager,missing,08
11-3031.00,Financial Manager,missing,08
11-3031.00,Financial Officer,missing,04
11-3031.00,Financial Planning and Analysis Manager,missing,10
11-3031.00,Financial Planning Manager,missing,02
11-3031.00,Financial Reporting Manager,missing,02
11-3031.00,Financial Supervisor,missing,08
11-3031.00,Financial Systems Manager,missing,02
11-3031.00,Fiscal Manager,missing,"04,08"
11-3031.00,International Bank Manager,missing,"04,08"
11-3031.00,Investment Manager,missing,08
11-3031.00,Paymaster,missing,08
11-3031.00,Reimbursement Director,missing,08
11-3031.00,Residential Mortgage Manager,missing,"04,08"
11-3031.00,Revenue Cycle Manager,missing,10
11-3031.00,Risk and Insurance Manager,missing,08
11-3031.00,Risk Management Director,missing,08
11-3031.00,Tax Director,missing,08
11-3031.00,Tax Manager,missing,"08,10"
11-3031.01,City Comptroller,missing,"04,06"
